time_iso,time_ms,open,high,low,close,volume
2026-03-12T10:35:00.000Z,1773311700000,24882.7,24884.1,24871.2,24872.1,260
2026-03-12T10:36:00.000Z,1773311760000,24871.8,24881.1,24870.8,24880,255
2026-03-12T10:37:00.000Z,1773311820000,24879.8,24880.3,24870.1,24871.8,245
2026-03-12T10:38:00.000Z,1773311880000,24872.1,24873.3,24865.8,24871.8,229
2026-03-12T10:39:00.000Z,1773311940000,24871.7,24874.2,24867.5,24871.6,265
2026-03-12T10:40:00.000Z,1773312000000,24872.1,24873.3,24863.3,24867.1,234
2026-03-12T10:41:00.000Z,1773312060000,24867,24870.3,24859.7,24862.2,225
2026-03-12T10:42:00.000Z,1773312120000,24862.2,24870.3,24862,24870.1,254
2026-03-12T10:43:00.000Z,1773312180000,24870.3,24872,24864.1,24866.1,248
2026-03-12T10:44:00.000Z,1773312240000,24866,24870.5,24865.6,24868.2,212
2026-03-12T10:45:00.000Z,1773312300000,24867,24868.5,24864,24866.1,232
2026-03-12T10:46:00.000Z,1773312360000,24866.8,24873,24866.8,24873,222
2026-03-12T10:47:00.000Z,1773312420000,24872.9,24878.1,24872.8,24876,257
2026-03-12T10:48:00.000Z,1773312480000,24876.4,24882.5,24874.6,24878.9,272
2026-03-12T10:49:00.000Z,1773312540000,24878.4,24879.1,24873.5,24875,230
2026-03-12T10:50:00.000Z,1773312600000,24875.3,24880.5,24873.1,24879.2,249
2026-03-12T10:51:00.000Z,1773312660000,24879.2,24880.6,24866.7,24866.7,214
2026-03-12T10:52:00.000Z,1773312720000,24866.2,24866.2,24861,24862.3,258
2026-03-12T10:53:00.000Z,1773312780000,24862.3,24862.6,24854.2,24854.7,269
2026-03-12T10:54:00.000Z,1773312840000,24854.6,24860,24851.7,24859.8,286
2026-03-12T10:55:00.000Z,1773312900000,24859.8,24860.8,24855.7,24859.9,246
2026-03-12T10:56:00.000Z,1773312960000,24860.3,24860.3,24853.3,24855.3,227
2026-03-12T10:57:00.000Z,1773313020000,24855.1,24861,24853.3,24858.1,245
2026-03-12T10:58:00.000Z,1773313080000,24859,24860.9,24853.9,24855.6,249
2026-03-12T10:59:00.000Z,1773313140000,24855.6,24863.7,24855.4,24860.5,233
2026-03-12T11:00:00.000Z,1773313200000,24860.1,24862.2,24849.2,24861.7,364
2026-03-12T11:01:00.000Z,1773313260000,24861.7,24866.2,24859.1,24859.6,286
2026-03-12T11:02:00.000Z,1773313320000,24859.3,24860.6,24847,24848.3,272
2026-03-12T11:03:00.000Z,1773313380000,24848.6,24850.2,24841.7,24845.1,323
2026-03-12T11:04:00.000Z,1773313440000,24845.3,24848.8,24841.3,24843.6,276
2026-03-12T11:05:00.000Z,1773313500000,24843.7,24846,24838,24843.2,281
2026-03-12T11:06:00.000Z,1773313560000,24843.5,24849.3,24843,24846.7,218
2026-03-12T11:07:00.000Z,1773313620000,24846.5,24847,24837.6,24838.3,272
2026-03-12T11:08:00.000Z,1773313680000,24838.5,24841.5,24836,24841.5,253
2026-03-12T11:09:00.000Z,1773313740000,24841.3,24842.8,24835.9,24838.1,244
2026-03-12T11:10:00.000Z,1773313800000,24838.1,24840.6,24835.9,24836.8,212
2026-03-12T11:11:00.000Z,1773313860000,24837,24843.4,24836.4,24840,247
2026-03-12T11:12:00.000Z,1773313920000,24840.3,24844.1,24838.2,24839.8,237
2026-03-12T11:13:00.000Z,1773313980000,24839.3,24843.3,24837.9,24841.4,197
2026-03-12T11:14:00.000Z,1773314040000,24841.3,24844.5,24835.4,24837.8,233
2026-03-12T11:15:00.000Z,1773314100000,24837.5,24840.5,24836.6,24839,216
